stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant,df_resid
latent,latent_ch0,0,1.67906,0.602498,2.78683,0.00714881,0.114381,False,59
latent,latent_ch1,1,-0.753337,0.689918,-1.09192,0.279306,0.687523,False,59
latent,latent_ch2,2,-0.636104,0.887087,-0.717071,0.47616,0.834843,False,59
latent,latent_ch3,3,-0.467037,0.602895,-0.774657,0.441636,0.819267,False,59
latent,latent_ch4,4,-0.0606978,0.77779,-0.0780388,0.938061,0.978207,False,59
latent,latent_ch5,5,1.19119,0.571709,2.08356,0.0415412,0.279856,False,59
latent,latent_ch6,6,-0.464465,0.905927,-0.512695,0.610079,0.86064,False,59
latent,latent_ch7,7,0.47954,0.70112,0.683963,0.496676,0.834843,False,59
latent,latent_ch8,8,-0.0877108,0.643662,-0.136268,0.892073,0.97678,False,59
latent,latent_ch9,9,-0.037619,0.570391,-0.065953,0.947638,0.978207,False,59
latent,latent_ch10,10,-0.927439,0.698413,-1.32792,0.189318,0.630744,False,59
latent,latent_ch11,11,-0.958497,0.664774,-1.44184,0.154635,0.582155,False,59
latent,latent_ch12,12,0.737854,0.855067,0.862919,0.391676,0.783352,False,59
latent,latent_ch13,13,-0.977828,0.524172,-1.86547,0.0670897,0.357812,False,59
latent,latent_ch14,14,0.202154,0.647079,0.31241,0.755831,0.895799,False,59
latent,latent_ch15,15,-0.79471,0.517762,-1.53489,0.130155,0.537415,False,59
latent,latent_ch16,16,-0.494723,0.879976,-0.562201,0.576109,0.86064,False,59
latent,latent_ch17,17,-1.88011,0.716223,-2.62503,0.011016,0.141005,False,59
latent,latent_ch18,18,-0.0686423,0.74799,-0.0917691,0.927192,0.978207,False,59
latent,latent_ch19,19,-0.515507,0.799588,-0.644716,0.52161,0.845141,False,59
latent,latent_ch20,20,1.29635,0.606773,2.13646,0.0367998,0.261687,False,59
latent,latent_ch21,21,-0.915785,0.962977,-0.950993,0.345487,0.749756,False,59
latent,latent_ch22,22,-0.164747,0.653437,-0.252124,0.801821,0.913162,False,59
latent,latent_ch23,23,0.159448,0.646848,0.2465,0.806151,0.913162,False,59
latent,latent_ch24,24,0.584441,1.08419,0.539058,0.591875,0.86064,False,59
latent,latent_ch25,25,-1.22433,0.759115,-1.61284,0.112117,0.478365,False,59
latent,latent_ch26,26,0.464544,0.575306,0.807472,0.422638,0.819267,False,59
latent,latent_ch27,27,-0.171396,0.526038,-0.325823,0.745711,0.89326,False,59
latent,latent_ch28,28,-2.86383,0.833322,-3.43664,0.0010852,0.0516331,False,59
latent,latent_ch29,29,0.618276,0.69416,0.890683,0.376717,0.765393,False,59
latent,latent_ch30,30,-1.07179,0.573052,-1.87031,0.0664036,0.357812,False,59
latent,latent_ch31,31,1.72471,0.647383,2.66412,0.0099376,0.141005,False,59
latent,latent_ch32,32,-1.43787,0.618585,-2.32445,0.0235629,0.198251,False,59
latent,latent_ch33,33,0.874429,0.793038,1.10263,0.274664,0.687523,False,59
latent,latent_ch34,34,0.767448,0.837248,0.916632,0.363067,0.763588,False,59
latent,latent_ch35,35,0.314003,0.704513,0.445702,0.657444,0.86064,False,59
latent,latent_ch36,36,2.02672,0.879776,2.30368,0.0247814,0.198251,False,59
latent,latent_ch37,37,-2.87258,0.641845,-4.4755,3.54025e-05,0.00453153,True,59
latent,latent_ch38,38,0.467266,0.823138,0.567665,0.572416,0.86064,False,59
latent,latent_ch39,39,0.5178,0.664462,0.779276,0.438932,0.819267,False,59
latent,latent_ch40,40,0.726926,0.801715,0.906714,0.368246,0.763588,False,59
latent,latent_ch41,41,-1.60467,0.959695,-1.67207,0.0998069,0.473159,False,59
latent,latent_ch42,42,-0.336265,0.673568,-0.49923,0.619474,0.86064,False,59
latent,latent_ch43,43,-0.324019,0.685311,-0.472805,0.638096,0.86064,False,59
latent,latent_ch44,44,1.43332,0.751556,1.90714,0.0613747,0.357812,False,59
latent,latent_ch45,45,0.860498,0.73824,1.16561,0.248464,0.672732,False,59
latent,latent_ch46,46,0.316561,0.533505,0.593361,0.555208,0.86064,False,59
latent,latent_ch47,47,0.0217963,0.875988,0.024882,0.980233,0.989603,False,59
latent,latent_ch48,48,1.71193,0.541275,3.16278,0.00246915,0.0585521,False,59
latent,latent_ch49,49,-0.669723,0.570056,-1.17484,0.24478,0.672732,False,59
