stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant,df_resid
layer1,layer1_ch0,0,986.586,228.617,4.31545,6.16306e-05,8.96445e-05,True,59
layer1,layer1_ch1,1,858.92,230.47,3.72682,0.000436432,0.000581909,True,59
layer1,layer1_ch2,2,-92.6133,18.3393,-5.05,4.54065e-06,1.18608e-05,True,59
layer1,layer1_ch3,3,922.358,183.49,5.02673,4.94294e-06,1.18608e-05,True,59
layer1,layer1_ch4,4,475.558,312.774,1.52045,0.133739,0.133739,False,59
layer1,layer1_ch5,5,-87.3166,17.0511,-5.12088,3.50323e-06,1.18608e-05,True,59
layer1,layer1_ch6,6,1032.38,192.666,5.35841,1.45674e-06,1.18608e-05,True,59
layer1,layer1_ch7,7,-93.0046,18.1526,-5.12348,3.46997e-06,1.18608e-05,True,59
layer1,layer1_ch8,8,-138.388,27.8594,-4.96738,6.13444e-06,1.22689e-05,True,59
layer1,layer1_ch9,9,-327.082,138.361,-2.36397,0.0213916,0.0228177,True,59
layer1,layer1_ch10,10,-135.609,27.7162,-4.89275,8.03819e-06,1.42901e-05,True,59
layer1,layer1_ch11,11,989.258,225.209,4.39263,4.72238e-05,7.55581e-05,True,59
layer1,layer1_ch12,12,-210.863,65.1202,-3.23806,0.00197723,0.00243352,True,59
layer1,layer1_ch13,13,866.991,278.257,3.11579,0.00283206,0.00323664,True,59
layer1,layer1_ch14,14,972.017,193.884,5.0134,5.18911e-06,1.18608e-05,True,59
layer1,layer1_ch15,15,-86.6056,17.0019,-5.09388,3.86755e-06,1.18608e-05,True,59
