stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant,df_resid
layer3,layer3_ch0,0,-87.8415,17.5192,-5.01402,5.17738e-06,3.50136e-05,True,59
layer3,layer3_ch1,1,-64.6281,13.9632,-4.62846,2.06809e-05,8.82384e-05,True,59
layer3,layer3_ch2,2,-82.0086,59.978,-1.36731,0.176715,0.20944,False,59
layer3,layer3_ch3,3,-72.2203,16.0714,-4.4937,3.32212e-05,0.000119115,True,59
layer3,layer3_ch4,4,-66.5753,21.4291,-3.10678,0.00290717,0.00465147,True,59
layer3,layer3_ch5,5,-73.3243,26.4612,-2.77101,0.00746275,0.010162,True,59
layer3,layer3_ch6,6,-52.2282,44.5264,-1.17297,0.245522,0.285698,False,59
layer3,layer3_ch7,7,29.5556,47.6441,0.620341,0.537422,0.593018,False,59
layer3,layer3_ch8,8,176.513,39.331,4.48788,3.39037e-05,0.000119115,True,59
layer3,layer3_ch9,9,-73.7849,18.8503,-3.91426,0.00023753,0.000504599,True,59
layer3,layer3_ch10,10,-108.135,49.3474,-2.19131,0.0323902,0.0423056,True,59
layer3,layer3_ch11,11,-64.3378,15.1865,-4.23652,8.07459e-05,0.000234897,True,59
layer3,layer3_ch12,12,4.57914,58.116,0.0787931,0.937464,0.937464,False,59
layer3,layer3_ch13,13,-67.6715,14.2875,-4.73642,1.40913e-05,7.51537e-05,True,59
layer3,layer3_ch14,14,-48.3839,11.8829,-4.07174,0.000140896,0.000333977,True,59
layer3,layer3_ch15,15,172.357,49.8608,3.45677,0.00102006,0.00176442,True,59
layer3,layer3_ch16,16,-89.6005,23.3045,-3.84477,0.000298142,0.000596285,True,59
layer3,layer3_ch17,17,488.062,95.0139,5.13674,3.30505e-06,3.50136e-05,True,59
layer3,layer3_ch18,18,-44.7902,39.2258,-1.14186,0.258127,0.295002,False,59
layer3,layer3_ch19,19,-118.676,40.0331,-2.96444,0.00436923,0.00650304,True,59
layer3,layer3_ch20,20,-88.1426,21.3834,-4.12202,0.000119014,0.000315734,True,59
layer3,layer3_ch21,21,-43.2951,11.9312,-3.62873,0.000596383,0.00109053,True,59
layer3,layer3_ch22,22,-45.8012,11.3682,-4.02888,0.000162572,0.000371594,True,59
layer3,layer3_ch23,23,8.0997,35.2301,0.229909,0.818958,0.831957,False,59
layer3,layer3_ch24,24,-82.7128,16.2406,-5.09295,3.88067e-06,3.50136e-05,True,59
layer3,layer3_ch25,25,-62.8024,13.5092,-4.64888,1.92388e-05,8.79489e-05,True,59
layer3,layer3_ch26,26,225.006,90.9181,2.47482,0.0162237,0.0216316,True,59
layer3,layer3_ch27,27,-58.0912,14.1926,-4.09305,0.000131184,0.000322914,True,59
layer3,layer3_ch28,28,-89.3775,48.6731,-1.83628,0.0713561,0.0878229,False,59
layer3,layer3_ch29,29,-45.448,10.3827,-4.37727,4.98018e-05,0.000151777,True,59
layer3,layer3_ch30,30,-72.5232,18.5692,-3.90556,0.000244415,0.000504599,True,59
layer3,layer3_ch31,31,-82.1813,20.7678,-3.95715,0.000206238,0.000455145,True,59
layer3,layer3_ch32,32,-50.2587,16.777,-2.99568,0.00399931,0.00609418,True,59
layer3,layer3_ch33,33,137.368,44.673,3.07497,0.00318737,0.00497541,True,59
layer3,layer3_ch34,34,-60.9927,16.2237,-3.75947,0.000392973,0.000762129,True,59
layer3,layer3_ch35,35,-81.8381,15.2932,-5.35126,1.49598e-06,3.19143e-05,True,59
layer3,layer3_ch36,36,-107.105,22.9643,-4.66398,1.82354e-05,8.79489e-05,True,59
layer3,layer3_ch37,37,196.257,32.695,6.00266,1.28017e-07,8.19309e-06,True,59
layer3,layer3_ch38,38,-66.4756,14.5244,-4.57681,2.48171e-05,9.92685e-05,True,59
layer3,layer3_ch39,39,-103.033,23.5363,-4.37761,4.97432e-05,0.000151777,True,59
layer3,layer3_ch40,40,-64.9969,19.7744,-3.28692,0.00170905,0.00280459,True,59
layer3,layer3_ch41,41,-75.8162,14.7122,-5.15329,3.11011e-06,3.50136e-05,True,59
layer3,layer3_ch42,42,-93.5148,27.6361,-3.38378,0.00127554,0.00214828,True,59
layer3,layer3_ch43,43,-77.4874,20.8348,-3.71912,0.000447325,0.000842023,True,59
layer3,layer3_ch44,44,-74.5759,26.8244,-2.78016,0.00727977,0.0101284,True,59
layer3,layer3_ch45,45,-141.645,26.3577,-5.37393,1.37504e-06,3.19143e-05,True,59
layer3,layer3_ch46,46,-62.4328,12.3643,-5.04946,4.54961e-06,3.50136e-05,True,59
layer3,layer3_ch47,47,-58.0584,29.1831,-1.98946,0.051293,0.0643677,False,59
layer3,layer3_ch48,48,-101.618,35.9845,-2.82395,0.00645963,0.00918702,True,59
layer3,layer3_ch49,49,15.9346,50.0551,0.318341,0.751351,0.788302,False,59
layer3,layer3_ch50,50,-60.1651,20.8818,-2.88122,0.00551544,0.00802246,True,59
layer3,layer3_ch51,51,-15.6053,33.26,-0.469192,0.640661,0.683372,False,59
layer3,layer3_ch52,52,-12.0137,49.6684,-0.241877,0.809714,0.831957,False,59
layer3,layer3_ch53,53,-63.1619,14.1118,-4.47582,3.53622e-05,0.000119115,True,59
layer3,layer3_ch54,54,-90.3412,54.9605,-1.64375,0.105547,0.127453,False,59
layer3,layer3_ch55,55,-71.0748,14.43,-4.9255,7.14048e-06,4.15446e-05,True,59
layer3,layer3_ch56,56,-58.7936,14.2615,-4.12255,0.000118801,0.000315734,True,59
layer3,layer3_ch57,57,-23.4599,41.2389,-0.568878,0.571598,0.620039,False,59
layer3,layer3_ch58,58,34.8125,41.8757,0.83133,0.409139,0.459384,False,59
layer3,layer3_ch59,59,-61.0139,30.6424,-1.99116,0.0510999,0.0643677,False,59
layer3,layer3_ch60,60,-72.0953,17.5354,-4.11142,0.000123333,0.000315734,True,59
layer3,layer3_ch61,61,-93.6554,18.4054,-5.08847,3.94485e-06,3.50136e-05,True,59
layer3,layer3_ch62,62,-69.0705,19.5744,-3.52861,0.000816538,0.00145162,True,59
layer3,layer3_ch63,63,338.965,67.8083,4.99887,5.47088e-06,3.50136e-05,True,59
