stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant,df_resid
layer4,layer4_ch0,0,-32.2734,13.8963,-2.32244,0.0236785,0.0666652,False,59
layer4,layer4_ch1,1,2.15808,14.7286,0.146523,0.884008,0.912525,False,59
layer4,layer4_ch2,2,-25.874,16.2478,-1.59246,0.116626,0.204495,False,59
layer4,layer4_ch3,3,-27.217,14.0616,-1.93555,0.0577194,0.127381,False,59
layer4,layer4_ch4,4,-31.8647,12.058,-2.64263,0.010518,0.0425345,True,59
layer4,layer4_ch5,5,-15.2265,11.0723,-1.37519,0.174271,0.278833,False,59
layer4,layer4_ch6,6,36.5671,18.1909,2.01018,0.048991,0.112547,False,59
layer4,layer4_ch7,7,-12.8627,14.302,-0.899368,0.372113,0.501373,False,59
layer4,layer4_ch8,8,19.4363,19.4499,0.999303,0.321729,0.447622,False,59
layer4,layer4_ch9,9,-44.6428,17.0738,-2.61469,0.0113186,0.0425345,True,59
layer4,layer4_ch10,10,-33.159,13.3546,-2.48296,0.0158923,0.0520814,False,59
layer4,layer4_ch11,11,-42.8538,15.9504,-2.6867,0.00935967,0.0425345,True,59
layer4,layer4_ch12,12,-33.5941,12.8528,-2.61376,0.0113463,0.0425345,True,59
layer4,layer4_ch13,13,-10.1179,12.8386,-0.788091,0.433799,0.566594,False,59
layer4,layer4_ch14,14,-54.3524,16.8542,-3.22485,0.00205631,0.0164512,True,59
layer4,layer4_ch15,15,-9.82135,10.7907,-0.910165,0.366439,0.498981,False,59
layer4,layer4_ch16,16,-38.9614,14.9933,-2.59859,0.0118049,0.0425345,True,59
layer4,layer4_ch17,17,-15.0774,13.8386,-1.08951,0.280359,0.410012,False,59
layer4,layer4_ch18,18,-11.9469,16.8981,-0.706994,0.482354,0.605306,False,59
layer4,layer4_ch19,19,-33.7305,17.9949,-1.87445,0.0658223,0.135782,False,59
layer4,layer4_ch20,20,-8.28327,18.4008,-0.450158,0.654246,0.754446,False,59
layer4,layer4_ch21,21,-29.4726,10.5881,-2.78355,0.00721293,0.0351313,True,59
layer4,layer4_ch22,22,-34.9474,12.0322,-2.90449,0.0051696,0.0287699,True,59
layer4,layer4_ch23,23,-6.30655,17.7954,-0.354393,0.724308,0.818678,False,59
layer4,layer4_ch24,24,-48.5108,13.6364,-3.55746,0.000746223,0.0119396,True,59
layer4,layer4_ch25,25,-24.0529,16.1407,-1.49021,0.141497,0.238311,False,59
layer4,layer4_ch26,26,-36.9078,15.5756,-2.3696,0.0210976,0.0628021,False,59
layer4,layer4_ch27,27,-27.3799,11.9955,-2.28251,0.0260798,0.0707046,False,59
layer4,layer4_ch28,28,-33.1959,17.1179,-1.93926,0.0572568,0.127381,False,59
layer4,layer4_ch29,29,-20.7337,19.2692,-1.076,0.286307,0.411767,False,59
layer4,layer4_ch30,30,-0.0800848,16.1052,-0.00497261,0.996049,0.99811,False,59
layer4,layer4_ch31,31,-22.2973,14.3,-1.55925,0.124286,0.214981,False,59
layer4,layer4_ch32,32,-10.069,14.9873,-0.671836,0.504311,0.626716,False,59
layer4,layer4_ch33,33,-30.956,11.0235,-2.80819,0.00674442,0.0345314,True,59
layer4,layer4_ch34,34,-42.5521,12.0997,-3.51678,0.000847149,0.0120483,True,59
layer4,layer4_ch35,35,-26.3523,19.9727,-1.31942,0.192127,0.303608,False,59
layer4,layer4_ch36,36,-19.1464,16.3957,-1.16777,0.247598,0.381838,False,59
layer4,layer4_ch37,37,11.1605,18.0571,0.618066,0.53891,0.650759,False,59
layer4,layer4_ch38,38,-20.9467,14.5499,-1.43965,0.155252,0.258081,False,59
layer4,layer4_ch39,39,30.8148,18.2108,1.69212,0.0958989,0.177899,False,59
layer4,layer4_ch40,40,-29.4588,13.1891,-2.23357,0.0293157,0.0750482,False,59
layer4,layer4_ch41,41,-44.1194,10.1085,-4.36459,5.20312e-05,0.001665,True,59
layer4,layer4_ch42,42,-43.2919,13.2097,-3.27729,0.00175906,0.0164512,True,59
layer4,layer4_ch43,43,9.08618,12.7906,0.71038,0.480267,0.605306,False,59
layer4,layer4_ch44,44,11.8364,15.8153,0.748413,0.457184,0.585196,False,59
layer4,layer4_ch45,45,-16.3097,12.4401,-1.31106,0.194916,0.30426,False,59
layer4,layer4_ch46,46,-26.2097,14.9526,-1.75285,0.0848229,0.16205,False,59
layer4,layer4_ch47,47,-27.2509,13.0207,-2.09289,0.0406685,0.0982183,False,59
layer4,layer4_ch48,48,-12.0354,14.2623,-0.84386,0.402156,0.536208,False,59
layer4,layer4_ch49,49,-53.1736,11.344,-4.68736,1.67823e-05,0.000716045,True,59
layer4,layer4_ch50,50,-13.922,12.8192,-1.08603,0.281883,0.410012,False,59
layer4,layer4_ch51,51,-30.4209,9.65812,-3.14977,0.00256496,0.0193126,True,59
layer4,layer4_ch52,52,-34.3335,20.4414,-1.67961,0.0983227,0.17979,False,59
layer4,layer4_ch53,53,-3.94186,15.8108,-0.249314,0.803984,0.86905,False,59
layer4,layer4_ch54,54,-24.8172,10.307,-2.40779,0.0191944,0.0584971,False,59
layer4,layer4_ch55,55,-15.1952,13.8907,-1.09391,0.27844,0.410012,False,59
layer4,layer4_ch56,56,-36.7591,13.9278,-2.63925,0.0106119,0.0425345,True,59
layer4,layer4_ch57,57,-42.2649,12.1383,-3.48193,0.000943823,0.0120809,True,59
layer4,layer4_ch58,58,-1.19574,15.2124,-0.0786029,0.937614,0.960117,False,59
layer4,layer4_ch59,59,-28.5041,15.2649,-1.8673,0.0668304,0.135782,False,59
layer4,layer4_ch60,60,-30.6745,17.9183,-1.71191,0.0921663,0.17349,False,59
layer4,layer4_ch61,61,-8.03021,12.6949,-0.632553,0.52947,0.645449,False,59
layer4,layer4_ch62,62,-42.498,14.1337,-3.00686,0.00387417,0.0247947,True,59
layer4,layer4_ch63,63,-33.8271,14.5956,-2.31762,0.0239578,0.0666652,False,59
layer4,layer4_ch64,64,30.5539,13.9508,2.19013,0.0324801,0.0815187,False,59
layer4,layer4_ch65,65,3.16335,13.7841,0.229492,0.81928,0.86905,False,59
layer4,layer4_ch66,66,-28.9458,20.6495,-1.40177,0.166224,0.269325,False,59
layer4,layer4_ch67,67,-5.27921,14.1557,-0.372938,0.710531,0.812035,False,59
layer4,layer4_ch68,68,-28.4626,8.82608,-3.22483,0.0020564,0.0164512,True,59
layer4,layer4_ch69,69,22.4721,21.3451,1.0528,0.296726,0.42201,False,59
layer4,layer4_ch70,70,-24.7001,9.98566,-2.47356,0.0162754,0.0520814,False,59
layer4,layer4_ch71,71,-3.88209,11.1579,-0.347924,0.729135,0.818678,False,59
layer4,layer4_ch72,72,-27.0391,15.2707,-1.77065,0.0817849,0.158623,False,59
layer4,layer4_ch73,73,-25.5971,14.4566,-1.77062,0.0817897,0.158623,False,59
layer4,layer4_ch74,74,-46.0218,15.0943,-3.04896,0.00343499,0.023141,True,59
layer4,layer4_ch75,75,-49.1851,10.4175,-4.72138,1.48679e-05,0.000716045,True,59
layer4,layer4_ch76,76,59.4813,23.5309,2.52779,0.014176,0.0477506,True,59
layer4,layer4_ch77,77,-28.0892,11.9311,-2.35428,0.021907,0.0637296,False,59
layer4,layer4_ch78,78,-24.7012,12.9876,-1.90191,0.0620691,0.133763,False,59
layer4,layer4_ch79,79,-36.7281,10.2575,-3.58059,0.000694046,0.0119396,True,59
layer4,layer4_ch80,80,9.98394,15.6736,0.636991,0.526595,0.645449,False,59
layer4,layer4_ch81,81,-12.6958,11.6847,-1.08653,0.281663,0.410012,False,59
layer4,layer4_ch82,82,-5.82244,22.9594,-0.253597,0.800689,0.86905,False,59
layer4,layer4_ch83,83,-12.4384,16.318,-0.762252,0.448946,0.580455,False,59
layer4,layer4_ch84,84,-29.0915,10.8895,-2.67152,0.00974465,0.0425345,True,59
layer4,layer4_ch85,85,6.91964,14.4999,0.477218,0.63497,0.738874,False,59
layer4,layer4_ch86,86,-21.2573,9.34125,-2.27564,0.0265142,0.0707046,False,59
layer4,layer4_ch87,87,-46.8506,11.2079,-4.18015,9.77968e-05,0.0025036,True,59
layer4,layer4_ch88,88,-19.2557,12.73,-1.51263,0.135712,0.231615,False,59
layer4,layer4_ch89,89,58.9704,15.0346,3.92232,0.000231323,0.0049349,True,59
layer4,layer4_ch90,90,-19.8987,14.189,-1.4024,0.166036,0.269325,False,59
layer4,layer4_ch91,91,-30.5215,15.2007,-2.0079,0.0492393,0.112547,False,59
layer4,layer4_ch92,92,-18.7676,18.1952,-1.03146,0.306535,0.43117,False,59
layer4,layer4_ch93,93,100.821,17.9454,5.61819,5.50868e-07,7.0511e-05,True,59
layer4,layer4_ch94,94,-31.063,10.4049,-2.98543,0.00411733,0.0250961,True,59
layer4,layer4_ch95,95,-57.8232,20.2569,-2.8545,0.0059388,0.0316736,True,59
layer4,layer4_ch96,96,-26.9298,11.9929,-2.24548,0.0284975,0.0744424,False,59
layer4,layer4_ch97,97,-33.2321,13.5011,-2.46144,0.0167812,0.0523901,False,59
layer4,layer4_ch98,98,17.8148,19.2626,0.924841,0.358816,0.493854,False,59
layer4,layer4_ch99,99,-4.10327,17.1952,-0.238629,0.81222,0.86905,False,59
layer4,layer4_ch100,100,-39.4218,15.2003,-2.59349,0.0119628,0.0425345,True,59
layer4,layer4_ch101,101,-23.4755,12.3739,-1.89718,0.0627014,0.133763,False,59
layer4,layer4_ch102,102,-4.08298,13.1434,-0.310649,0.757162,0.842754,False,59
layer4,layer4_ch103,103,-43.4729,14.9316,-2.91147,0.00506998,0.0287699,True,59
layer4,layer4_ch104,104,-29.8447,11.3789,-2.62281,0.0110804,0.0425345,True,59
layer4,layer4_ch105,105,6.79894,13.1178,0.518299,0.606188,0.711854,False,59
layer4,layer4_ch106,106,-14.0946,17.5706,-0.802167,0.425676,0.561716,False,59
layer4,layer4_ch107,107,3.62786,12.1295,0.299094,0.765919,0.845152,False,59
layer4,layer4_ch108,108,-34.616,11.3264,-3.05621,0.00336423,0.023141,True,59
layer4,layer4_ch109,109,-16.7312,15.4049,-1.08609,0.281855,0.410012,False,59
layer4,layer4_ch110,110,27.2012,17.061,1.59434,0.116203,0.204495,False,59
layer4,layer4_ch111,111,-22.7163,12.2541,-1.85377,0.068773,0.137546,False,59
layer4,layer4_ch112,112,4.7767,21.6102,0.221039,0.825825,0.86905,False,59
layer4,layer4_ch113,113,-33.3806,16.086,-2.07514,0.0423433,0.100369,False,59
layer4,layer4_ch114,114,-44.6419,13.704,-3.25758,0.00186566,0.0164512,True,59
layer4,layer4_ch115,115,-0.56021,11.8098,-0.0474359,0.962326,0.977601,False,59
layer4,layer4_ch116,116,8.93967,15.2844,0.584887,0.560854,0.670928,False,59
layer4,layer4_ch117,117,-40.3785,11.9319,-3.38409,0.00127434,0.013593,True,59
layer4,layer4_ch118,118,-37.2722,14.5245,-2.56617,0.012842,0.0444262,True,59
layer4,layer4_ch119,119,-36.3329,10.5767,-3.43518,0.00109006,0.0126843,True,59
layer4,layer4_ch120,120,2.75642,13.1833,0.209084,0.835103,0.86905,False,59
layer4,layer4_ch121,121,-9.56903,16.9597,-0.564221,0.574742,0.681176,False,59
layer4,layer4_ch122,122,-20.3028,12.37,-1.64129,0.106058,0.191202,False,59
layer4,layer4_ch123,123,-38.4512,18.0571,-2.12943,0.0374017,0.0920657,False,59
layer4,layer4_ch124,124,-3.26651,15.2289,-0.214494,0.830901,0.86905,False,59
