stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant,df_resid
layer2,layer2_ch0,0,-81.4809,16.4788,-4.94458,6.6635e-06,1.9126e-05,True,59
layer2,layer2_ch1,1,59.1241,133.029,0.444446,0.658346,0.679583,False,59
layer2,layer2_ch2,2,-121.057,27.3021,-4.434,4.09083e-05,6.88982e-05,True,59
layer2,layer2_ch3,3,-86.0502,18.1925,-4.72998,1.44189e-05,3.07602e-05,True,59
layer2,layer2_ch4,4,331.602,157.771,2.10179,0.0398509,0.0455439,True,59
layer2,layer2_ch5,5,-75.069,14.8804,-5.04483,4.62719e-06,1.9126e-05,True,59
layer2,layer2_ch6,6,267.476,125.004,2.13975,0.0365218,0.0432851,True,59
layer2,layer2_ch7,7,-92.1823,20.354,-4.52895,2.93634e-05,5.87267e-05,True,59
layer2,layer2_ch8,8,-62.786,12.8079,-4.90214,7.76994e-06,1.9126e-05,True,59
layer2,layer2_ch9,9,-106.355,36.7903,-2.89083,0.00537005,0.00687366,True,59
layer2,layer2_ch10,10,-65.4065,14.8574,-4.40228,4.56709e-05,7.30734e-05,True,59
layer2,layer2_ch11,11,-72.7205,14.7814,-4.91974,7.29075e-06,1.9126e-05,True,59
layer2,layer2_ch12,12,603.505,222.708,2.70985,0.00879898,0.0108295,True,59
layer2,layer2_ch13,13,-76.5786,18.4193,-4.15751,0.000105583,0.000153575,True,59
layer2,layer2_ch14,14,-94.2321,68.2355,-1.38098,0.172492,0.183992,False,59
layer2,layer2_ch15,15,-135.248,26.9707,-5.01462,5.16608e-06,1.9126e-05,True,59
layer2,layer2_ch16,16,530.907,102.2,5.19478,2.66972e-06,1.42385e-05,True,59
layer2,layer2_ch17,17,379.493,62.9469,6.02878,1.15849e-07,1.85359e-06,True,59
layer2,layer2_ch18,18,-78.5952,15.9204,-4.93676,6.85497e-06,1.9126e-05,True,59
layer2,layer2_ch19,19,-68.7444,15.8129,-4.34735,5.52205e-05,8.41455e-05,True,59
layer2,layer2_ch20,20,-79.8658,16.4931,-4.84239,9.63844e-06,2.20307e-05,True,59
layer2,layer2_ch21,21,556.609,276.508,2.01299,0.0486855,0.0537219,False,59
layer2,layer2_ch22,22,-275.168,85.9857,-3.20016,0.00221203,0.00294937,True,59
layer2,layer2_ch23,23,332.102,50.6493,6.55688,1.51466e-08,4.8469e-07,True,59
layer2,layer2_ch24,24,836.434,188.395,4.43978,4.00943e-05,6.88982e-05,True,59
layer2,layer2_ch25,25,-102.854,24.9802,-4.11743,0.000120864,0.000168159,True,59
layer2,layer2_ch26,26,-84.2426,16.9187,-4.97926,5.87535e-06,1.9126e-05,True,59
layer2,layer2_ch27,27,-137.415,26.1267,-5.25957,2.10181e-06,1.34516e-05,True,59
layer2,layer2_ch28,28,-66.9791,14.9082,-4.49278,3.33285e-05,6.2736e-05,True,59
layer2,layer2_ch29,29,753.738,128.047,5.88642,1.99457e-07,2.12754e-06,True,59
layer2,layer2_ch30,30,-37.239,241.594,-0.154139,0.878026,0.878026,False,59
layer2,layer2_ch31,31,-198.066,36.1446,-5.47982,9.26111e-07,7.40889e-06,True,59
