stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant
layer3,layer3_ch0,0,385.01,174.56,2.20561,0.0304752,0.0325069,True
layer3,layer3_ch1,1,-93.0604,13.1577,-7.0727,6.78341e-10,1.44713e-09,True
layer3,layer3_ch2,2,893.298,161.966,5.51535,4.73388e-07,5.82632e-07,True
layer3,layer3_ch3,3,-114.772,15.953,-7.19436,4.00632e-10,1.01338e-09,True
layer3,layer3_ch4,4,-223.618,32.5749,-6.86473,1.66289e-09,2.89475e-09,True
layer3,layer3_ch5,5,-284.01,46.8775,-6.05855,5.07796e-08,6.77061e-08,True
layer3,layer3_ch6,6,-115.338,15.1099,-7.63326,5.93439e-11,2.37376e-10,True
layer3,layer3_ch7,7,-285.316,74.8908,-3.80976,0.000282742,0.000306703,True
layer3,layer3_ch8,8,-208.813,28.9199,-7.2204,3.57862e-10,1.01338e-09,True
layer3,layer3_ch9,9,-286.581,41.0059,-6.98878,9.74594e-10,1.94919e-09,True
layer3,layer3_ch10,10,-152.505,22.3994,-6.80844,2.11782e-09,3.4754e-09,True
layer3,layer3_ch11,11,-197.754,28.293,-6.98949,9.71646e-10,1.94919e-09,True
layer3,layer3_ch12,12,-157.951,19.7062,-8.01533,1.11579e-11,5.49312e-11,True
layer3,layer3_ch13,13,-114.496,15.948,-7.17937,4.27521e-10,1.01338e-09,True
layer3,layer3_ch14,14,-106.212,14.3732,-7.38956,1.71645e-10,6.10293e-10,True
layer3,layer3_ch15,15,-200.415,107.56,-1.86329,0.0663366,0.0684765,False
layer3,layer3_ch16,16,-142.402,19.7747,-7.20123,3.88885e-10,1.01338e-09,True
layer3,layer3_ch17,17,-170.042,20.7545,-8.19305,5.12016e-12,2.979e-11,True
layer3,layer3_ch18,18,426.906,44.0025,9.70186,6.96189e-15,2.2278e-13,True
layer3,layer3_ch19,19,-106.795,15.5605,-6.86325,1.67352e-09,2.89475e-09,True
layer3,layer3_ch20,20,-285.038,61.4434,-4.63904,1.45386e-05,1.63241e-05,True
layer3,layer3_ch21,21,-111.223,16.7404,-6.64396,4.28342e-09,6.68631e-09,True
layer3,layer3_ch22,22,-107.04,15.575,-6.87259,1.60763e-09,2.89475e-09,True
layer3,layer3_ch23,23,602.821,69.2659,8.703,5.46993e-13,5.83459e-12,True
layer3,layer3_ch24,24,-203.101,24.0426,-8.44753,1.67713e-12,1.53338e-11,True
layer3,layer3_ch25,25,-150.555,21.761,-6.9186,1.31887e-09,2.55782e-09,True
layer3,layer3_ch26,26,-222.405,31.0189,-7.16998,4.4528e-10,1.01778e-09,True
layer3,layer3_ch27,27,-112.486,15.6561,-7.18483,4.17528e-10,1.01338e-09,True
layer3,layer3_ch28,28,-367.37,60.7068,-6.05153,5.22877e-08,6.82941e-08,True
layer3,layer3_ch29,29,-126.157,18.4895,-6.82319,1.9879e-09,3.34803e-09,True
layer3,layer3_ch30,30,-96.5958,14.005,-6.89722,1.44596e-09,2.72182e-09,True
layer3,layer3_ch31,31,-263.13,39.4048,-6.67763,3.70941e-09,5.93505e-09,True
layer3,layer3_ch32,32,-132.658,23.5903,-5.62339,3.0539e-07,3.83234e-07,True
layer3,layer3_ch33,33,-140.259,96.7924,-1.44907,0.151486,0.151486,False
layer3,layer3_ch34,34,-212.935,24.3087,-8.75961,4.26777e-13,5.46274e-12,True
layer3,layer3_ch35,35,-109.128,14.8579,-7.34479,2.08531e-10,6.72132e-10,True
layer3,layer3_ch36,36,-167.129,20.7664,-8.04807,9.66675e-12,5.1556e-11,True
layer3,layer3_ch37,37,469.514,64.9988,7.22342,3.53205e-10,1.01338e-09,True
layer3,layer3_ch38,38,-224.472,35.2552,-6.36707,1.38963e-08,2.02128e-08,True
layer3,layer3_ch39,39,-144.402,19.3924,-7.44629,1.34091e-10,5.04812e-10,True
layer3,layer3_ch40,40,-170.753,22.3414,-7.64286,5.69063e-11,2.37376e-10,True
layer3,layer3_ch41,41,-133.461,18.5796,-7.18321,4.20467e-10,1.01338e-09,True
layer3,layer3_ch42,42,-230.123,35.5388,-6.47525,8.78667e-09,1.30778e-08,True
layer3,layer3_ch43,43,956.954,90.5665,10.5663,1.66858e-16,1.06789e-14,True
layer3,layer3_ch44,44,-203.01,133.209,-1.524,0.131715,0.133806,False
layer3,layer3_ch45,45,-209,23.2612,-8.98493,1.59031e-13,2.54449e-12,True
layer3,layer3_ch46,46,-269.441,54.1948,-4.97172,4.08239e-06,4.83839e-06,True
layer3,layer3_ch47,47,-224.379,43.5099,-5.15695,1.97943e-06,2.39025e-06,True
layer3,layer3_ch48,48,-200.825,30.364,-6.61392,4.8694e-09,7.42004e-09,True
layer3,layer3_ch49,49,-436.321,92.3928,-4.72246,1.06138e-05,1.21301e-05,True
layer3,layer3_ch50,50,-256.071,40.8763,-6.26453,2.14183e-08,3.04616e-08,True
layer3,layer3_ch51,51,-458.783,78.2963,-5.85957,1.15959e-07,1.48427e-07,True
layer3,layer3_ch52,52,516.698,66.2996,7.79338,2.94797e-11,1.34764e-10,True
layer3,layer3_ch53,53,-245.18,29.7771,-8.23385,4.28153e-12,2.77838e-11,True
layer3,layer3_ch54,54,-332.351,67.9404,-4.8918,5.55903e-06,6.46869e-06,True
layer3,layer3_ch55,55,-292.95,40.9436,-7.15498,4.75157e-10,1.04862e-09,True
layer3,layer3_ch56,56,-138.635,16.8437,-8.23069,4.34122e-12,2.77838e-11,True
layer3,layer3_ch57,57,295.048,151.043,1.9534,0.054502,0.0571824,False
layer3,layer3_ch58,58,-260.965,42.1704,-6.18834,2.95032e-08,4.01746e-08,True
layer3,layer3_ch59,59,464.858,55.5563,8.36733,2.38428e-12,1.90742e-11,True
layer3,layer3_ch60,60,-143.107,23.0036,-6.22108,2.5714e-08,3.5776e-08,True
layer3,layer3_ch61,61,-176.455,24.03,-7.34313,2.10041e-10,6.72132e-10,True
