stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant
layer4,layer4_ch0,0,-157.944,29.6211,-5.33213,9.88296e-07,2.18107e-06,True
layer4,layer4_ch1,1,57.1704,41.2074,1.38738,0.169434,0.182249,False
layer4,layer4_ch2,2,-122.791,34.9847,-3.50984,0.000762164,0.00099548,True
layer4,layer4_ch3,3,-63.7162,25.8795,-2.46204,0.0161117,0.0189165,True
layer4,layer4_ch4,4,-114.458,19.4023,-5.89922,9.84342e-08,3.07307e-07,True
layer4,layer4_ch5,5,-131.425,19.3562,-6.78983,2.29395e-09,2.44688e-08,True
layer4,layer4_ch6,6,-95.2897,31.3392,-3.04059,0.00325116,0.00396332,True
layer4,layer4_ch7,7,-160.723,45.4226,-3.5384,0.00069493,0.000917022,True
layer4,layer4_ch8,8,-117.67,19.9462,-5.89936,9.83774e-08,3.07307e-07,True
layer4,layer4_ch9,9,-162.013,21.2218,-7.63426,5.90853e-11,3.78146e-09,True
layer4,layer4_ch10,10,-128.04,22.5004,-5.69056,2.32191e-07,6.32349e-07,True
layer4,layer4_ch11,11,-128.161,21.3978,-5.98946,6.7707e-08,2.40736e-07,True
layer4,layer4_ch12,12,-65.7293,31.2119,-2.1059,0.0385595,0.0440681,True
layer4,layer4_ch13,13,-113.371,19.008,-5.9644,7.51339e-08,2.59923e-07,True
layer4,layer4_ch14,14,-185.315,47.6718,-3.88731,0.000217139,0.000302107,True
layer4,layer4_ch15,15,-31.0645,30.0662,-1.0332,0.304829,0.319821,False
layer4,layer4_ch16,16,-164.829,24.2415,-6.79943,2.20132e-09,2.44688e-08,True
layer4,layer4_ch17,17,-109.466,19.3077,-5.66952,2.53027e-07,6.74739e-07,True
layer4,layer4_ch18,18,-108.66,25.9733,-4.18353,7.71092e-05,0.000114767,True
layer4,layer4_ch19,19,213.006,35.2921,6.03551,5.58988e-08,2.1682e-07,True
layer4,layer4_ch20,20,-86.7712,17.581,-4.93551,4.69653e-06,8.58795e-06,True
layer4,layer4_ch21,21,-92.7147,18.7478,-4.94537,4.52085e-06,8.3865e-06,True
layer4,layer4_ch22,22,-141.637,23.5125,-6.02389,5.86719e-08,2.20882e-07,True
layer4,layer4_ch23,23,22.0454,54.0013,0.408239,0.684262,0.700684,False
layer4,layer4_ch24,24,-128.169,36.9563,-3.46813,0.000871515,0.00111554,True
layer4,layer4_ch25,25,-96.5307,26.619,-3.62638,0.000521403,0.000695204,True
layer4,layer4_ch26,26,-107.358,18.2558,-5.88073,1.06253e-07,3.23819e-07,True
layer4,layer4_ch27,27,-90.2634,18.9059,-4.77434,8.71564e-06,1.52822e-05,True
layer4,layer4_ch28,28,-95.516,12.922,-7.39172,1.70034e-10,5.4411e-09,True
