stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant
latent,latent_ch118,118,-3.91213,1.13648,-3.44232,0.000946458,0.0109633,True
latent,latent_ch119,119,-0.598613,1.29417,-0.462546,0.645029,0.778903,False
latent,latent_ch120,120,1.67251,1.25974,1.32766,0.188316,0.376633,False
latent,latent_ch121,121,-0.625446,0.742159,-0.842738,0.402054,0.598407,False
latent,latent_ch122,122,-1.53231,0.917023,-1.67096,0.0988976,0.247108,False
latent,latent_ch123,123,1.20205,0.809394,1.48512,0.141702,0.292546,False
latent,latent_ch124,124,0.449362,0.793017,0.566649,0.572644,0.740389,False
latent,latent_ch125,125,-0.395072,0.853079,-0.463113,0.644624,0.778903,False
latent,latent_ch126,126,-3.36465,0.769023,-4.37523,3.86192e-05,0.00123581,True
latent,latent_ch127,127,2.93813,1.03787,2.83093,0.00595426,0.034518,True
