stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant
layer1,layer1_ch0,0,1693.79,504.911,3.35462,0.00124906,0.0015373,True
layer1,layer1_ch1,1,3481.3,434.859,8.00558,1.16445e-11,3.72624e-11,True
layer1,layer1_ch2,2,-159.934,20.8199,-7.68179,4.80105e-11,8.5352e-11,True
layer1,layer1_ch3,3,2833.8,333.695,8.49218,1.37887e-12,5.51548e-12,True
layer1,layer1_ch4,4,-531.327,235.17,-2.25933,0.0267676,0.0285521,True
layer1,layer1_ch5,5,-142.852,18.4216,-7.75461,3.49242e-11,7.40325e-11,True
layer1,layer1_ch6,6,3549.05,367.791,9.64966,8.73552e-15,1.39768e-13,True
layer1,layer1_ch7,7,-154.146,19.9122,-7.7413,3.70162e-11,7.40325e-11,True
layer1,layer1_ch8,8,-217.54,31.5608,-6.89274,1.47416e-09,1.96555e-09,True
layer1,layer1_ch9,9,-445.255,136.457,-3.26296,0.00166136,0.0018987,True
layer1,layer1_ch10,10,-181.425,25.0659,-7.2379,3.31713e-10,4.82492e-10,True
layer1,layer1_ch11,11,3976.95,422.676,9.40899,2.49193e-14,1.99354e-13,True
layer1,layer1_ch12,12,-173.196,23.1837,-7.4706,1.20623e-10,1.92996e-10,True
layer1,layer1_ch13,13,-200.303,306.824,-0.652828,0.515863,0.515863,False
layer1,layer1_ch14,14,3309.09,364.442,9.07988,1.04956e-13,5.59765e-13,True
layer1,layer1_ch15,15,-141.163,18.1931,-7.75916,3.42366e-11,7.40325e-11,True
