stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant,df_resid
latent,latent_ch118,118,-0.275547,0.60604,-0.454668,0.651016,0.933699,False,59
latent,latent_ch119,119,0.195695,0.575347,0.340133,0.734964,0.950257,False,59
latent,latent_ch120,120,-0.326991,0.541553,-0.603803,0.548289,0.933699,False,59
latent,latent_ch121,121,0.0103583,0.366889,0.0282329,0.977572,0.993984,False,59
latent,latent_ch122,122,-0.729459,0.402475,-1.81243,0.0750083,0.642647,False,59
latent,latent_ch123,123,0.173888,0.331528,0.524505,0.601893,0.933699,False,59
latent,latent_ch124,124,0.058481,0.338773,0.172626,0.863536,0.985628,False,59
latent,latent_ch125,125,-0.162588,0.353766,-0.459592,0.647498,0.933699,False,59
latent,latent_ch126,126,-0.91742,0.379291,-2.41877,0.0186766,0.500029,False,59
latent,latent_ch127,127,0.300815,0.448307,0.671003,0.504837,0.933699,False,59
