stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant,df_resid
layer4,layer4_ch44,44,-0.978496,16.9155,-0.057846,0.954067,0.954067,False,59
layer4,layer4_ch45,45,-9.53032,16.0908,-0.592285,0.555923,0.658871,False,59
layer4,layer4_ch46,46,-25.1762,11.1634,-2.25524,0.027842,0.0809948,False,59
layer4,layer4_ch47,47,-43.9894,14.7817,-2.97593,0.00422967,0.0259603,True,59
layer4,layer4_ch48,48,-14.6724,13.6594,-1.07416,0.287124,0.386862,False,59
layer4,layer4_ch49,49,-36.1829,14.1559,-2.55604,0.0131826,0.0468715,True,59
layer4,layer4_ch50,50,-25.7319,13.6129,-1.89026,0.0636374,0.132629,False,59
layer4,layer4_ch51,51,-9.55171,10.4054,-0.917954,0.362381,0.457451,False,59
layer4,layer4_ch52,52,-45.8264,13.091,-3.50061,0.000890772,0.0114019,True,59
layer4,layer4_ch53,53,-41.0927,19.006,-2.16209,0.034678,0.0924745,False,59
layer4,layer4_ch54,54,-33.1884,12.1584,-2.72968,0.0083435,0.0344506,True,59
layer4,layer4_ch55,55,-41.1521,10.5839,-3.88818,0.000258738,0.00739849,True,59
layer4,layer4_ch56,56,-22.1266,13.6184,-1.62476,0.109545,0.19749,False,59
layer4,layer4_ch57,57,-19.0909,10.4649,-1.82428,0.0731753,0.146351,False,59
layer4,layer4_ch58,58,-24.3289,14.8177,-1.64188,0.105935,0.19371,False,59
layer4,layer4_ch59,59,-17.4361,10.9877,-1.58689,0.117884,0.206701,False,59
layer4,layer4_ch60,60,-30.2338,14.8846,-2.03121,0.0467466,0.112898,False,59
layer4,layer4_ch61,61,-26.6142,15.9154,-1.67223,0.0997741,0.185088,False,59
layer4,layer4_ch62,62,-41.0912,12.4037,-3.31281,0.00158122,0.0174745,True,59
layer4,layer4_ch63,63,-33.8332,11.7291,-2.88456,0.00546455,0.0279785,True,59
layer4,layer4_ch64,64,122.452,33.4739,3.65815,0.000543311,0.00869298,True,59
layer4,layer4_ch65,65,-31.322,19.4663,-1.60904,0.112946,0.200793,False,59
layer4,layer4_ch66,66,-45.2357,15.5999,-2.89974,0.00523849,0.0279785,True,59
layer4,layer4_ch67,67,24.5066,34.354,0.713354,0.478439,0.577737,False,59
layer4,layer4_ch68,68,-30.3123,13.103,-2.31338,0.0242055,0.0749653,False,59
layer4,layer4_ch69,69,24.0366,22.5192,1.06738,0.290147,0.386862,False,59
layer4,layer4_ch70,70,-44.1874,16.4386,-2.68802,0.00932668,0.0373067,True,59
layer4,layer4_ch71,71,-24.387,19.8361,-1.22942,0.223794,0.318285,False,59
layer4,layer4_ch72,72,-31.5183,14.3063,-2.2031,0.0315049,0.0896138,False,59
layer4,layer4_ch73,73,-5.94372,22.0731,-0.269274,0.788658,0.829695,False,59
layer4,layer4_ch74,74,-25.3237,16.359,-1.548,0.126971,0.213846,False,59
layer4,layer4_ch75,75,-36.3202,11.5433,-3.14643,0.00259014,0.0225688,True,59
layer4,layer4_ch76,76,-36.3137,12.7835,-2.84068,0.00616943,0.0292477,True,59
layer4,layer4_ch77,77,-6.77188,12.4991,-0.541791,0.590003,0.685686,False,59
layer4,layer4_ch78,78,-35.4783,19.9295,-1.78018,0.080195,0.157923,False,59
layer4,layer4_ch79,79,-38.5155,16.7194,-2.30365,0.0247833,0.0749653,False,59
layer4,layer4_ch80,80,-30.1724,11.5123,-2.62089,0.0111363,0.0431952,True,59
layer4,layer4_ch81,81,-31.902,13.2504,-2.40762,0.0192028,0.064683,False,59
layer4,layer4_ch82,82,-31.0132,16.4504,-1.88525,0.064323,0.132629,False,59
layer4,layer4_ch83,83,-17.8914,11.6294,-1.53847,0.12928,0.214908,False,59
layer4,layer4_ch84,84,-9.27992,17.5995,-0.527282,0.599975,0.685686,False,59
layer4,layer4_ch85,85,-35.3662,18.5395,-1.90761,0.0613128,0.132629,False,59
layer4,layer4_ch86,86,-20.4893,19.4084,-1.05569,0.295412,0.38881,False,59
layer4,layer4_ch87,87,-28.3356,14.6331,-1.9364,0.0576132,0.131687,False,59
layer4,layer4_ch88,88,-40.8686,18.6834,-2.18743,0.032686,0.0909524,False,59
layer4,layer4_ch89,89,5.50465,10.9882,0.500962,0.618262,0.694188,False,59
layer4,layer4_ch90,90,-33.4198,14.0865,-2.37248,0.0209485,0.068754,False,59
layer4,layer4_ch91,91,-30.4008,14.3799,-2.11411,0.0387423,0.096129,False,59
layer4,layer4_ch92,92,-30.7565,12.5961,-2.44176,0.017633,0.0610005,False,59
layer4,layer4_ch93,93,-11.4241,37.6292,-0.303596,0.762504,0.822491,False,59
layer4,layer4_ch94,94,-1.14082,15.8479,-0.0719857,0.942857,0.954067,False,59
layer4,layer4_ch95,95,-28.068,12.164,-2.30746,0.0245555,0.0749653,False,59
layer4,layer4_ch96,96,-67.945,18.7747,-3.61895,0.000615087,0.0087479,True,59
layer4,layer4_ch97,97,-23.4257,11.037,-2.12248,0.0380047,0.096129,False,59
layer4,layer4_ch98,98,-20.8222,17.9147,-1.1623,0.249793,0.347539,False,59
layer4,layer4_ch99,99,-43.1366,11.3571,-3.79819,0.000346804,0.00739849,True,59
layer4,layer4_ch100,100,-25.5458,13.4221,-1.90326,0.0618887,0.132629,False,59
layer4,layer4_ch101,101,-4.04603,15.1836,-0.266474,0.790803,0.829695,False,59
layer4,layer4_ch102,102,-19.0587,17.362,-1.09773,0.276783,0.376897,False,59
layer4,layer4_ch103,103,5.6266,18.7083,0.300754,0.76466,0.822491,False,59
layer4,layer4_ch104,104,-61.6465,15.3778,-4.0088,0.000173807,0.00739849,True,59
layer4,layer4_ch105,105,34.4356,18.333,1.87834,0.0652785,0.132629,False,59
layer4,layer4_ch106,106,-18.1183,12.8316,-1.41201,0.163201,0.256684,False,59
layer4,layer4_ch107,107,-19.8982,14.096,-1.41162,0.163314,0.256684,False,59
layer4,layer4_ch108,108,-50.974,19.5898,-2.60207,0.0116983,0.0440407,True,59
layer4,layer4_ch109,109,-5.08467,16.8821,-0.301187,0.764331,0.822491,False,59
layer4,layer4_ch110,110,-21.8656,27.4886,-0.795443,0.429545,0.523635,False,59
layer4,layer4_ch111,111,-33.6629,19.5699,-1.72013,0.0906502,0.173183,False,59
layer4,layer4_ch112,112,33.8506,28.3105,1.19569,0.236601,0.332801,False,59
layer4,layer4_ch113,113,-39.3056,12.6568,-3.1055,0.002918,0.0225688,True,59
layer4,layer4_ch114,114,-38.5928,12.9745,-2.9745,0.00424674,0.0259603,True,59
layer4,layer4_ch115,115,18.7678,17.8622,1.0507,0.297682,0.38881,False,59
layer4,layer4_ch116,116,-31.0711,34.0014,-0.913819,0.364531,0.457451,False,59
layer4,layer4_ch117,117,-23.5108,13.7971,-1.70403,0.0936373,0.176258,False,59
layer4,layer4_ch118,118,-29.503,9.50735,-3.10318,0.00293765,0.0225688,True,59
layer4,layer4_ch119,119,-40.2415,17.519,-2.29702,0.0251836,0.0749653,False,59
layer4,layer4_ch120,120,-6.11411,15.1948,-0.402382,0.688857,0.760118,False,59
layer4,layer4_ch121,121,-34.4733,11.6171,-2.96745,0.00433224,0.0259603,True,59
layer4,layer4_ch122,122,-27.4355,13.8133,-1.98616,0.0516673,0.122471,False,59
layer4,layer4_ch123,123,-27.9918,14.5362,-1.92566,0.0589705,0.132425,False,59
layer4,layer4_ch124,124,-6.40833,12.1166,-0.528889,0.598867,0.685686,False,59
layer4,layer4_ch125,125,-18.482,12.1242,-1.52438,0.132755,0.217855,False,59
layer4,layer4_ch126,126,26.8358,19.7497,1.3588,0.179383,0.273346,False,59
layer4,layer4_ch127,127,-5.13503,9.16496,-0.56029,0.577403,0.678052,False,59
