stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant,df_resid
layer4,layer4_ch0,0,-52.6201,18.5146,-2.84209,0.00614549,0.0292477,True,59
layer4,layer4_ch1,1,8.77685,17.1869,0.510671,0.611487,0.692658,False,59
layer4,layer4_ch2,2,-3.63939,18.2032,-0.199931,0.842222,0.876459,False,59
layer4,layer4_ch3,3,-1.49048,13.9137,-0.107123,0.915055,0.937016,False,59
layer4,layer4_ch4,4,-44.2895,15.3199,-2.89098,0.0053679,0.0279785,True,59
layer4,layer4_ch5,5,-47.192,15.6773,-3.01021,0.0038374,0.0259603,True,59
layer4,layer4_ch6,6,-14.9302,16.098,-0.92746,0.357466,0.457451,False,59
layer4,layer4_ch7,7,-36.9415,23.7703,-1.5541,0.125508,0.213846,False,59
layer4,layer4_ch8,8,-43.085,13.906,-3.0983,0.00297949,0.0225688,True,59
layer4,layer4_ch9,9,-62.5806,16.2504,-3.85102,0.000292129,0.00739849,True,59
layer4,layer4_ch10,10,-51.5653,16.6542,-3.09623,0.00299741,0.0225688,True,59
layer4,layer4_ch11,11,-24.9574,15.9024,-1.56941,0.1219,0.210854,False,59
layer4,layer4_ch12,12,-0.961216,14.6117,-0.0657838,0.947772,0.954067,False,59
layer4,layer4_ch13,13,-17.369,13.2828,-1.30763,0.19607,0.291825,False,59
layer4,layer4_ch14,14,-3.39259,26.0995,-0.129987,0.897019,0.925955,False,59
layer4,layer4_ch15,15,-3.515,13.1752,-0.266789,0.790562,0.829695,False,59
layer4,layer4_ch16,16,-63.899,17.4193,-3.66828,0.000526114,0.00869298,True,59
layer4,layer4_ch17,17,-14.4538,12.5081,-1.15555,0.252522,0.347558,False,59
layer4,layer4_ch18,18,-48.8861,17.3706,-2.8143,0.00663255,0.0303202,True,59
layer4,layer4_ch19,19,59.4139,20.0926,2.957,0.00446192,0.0259603,True,59
layer4,layer4_ch20,20,-18.3687,12.4957,-1.47,0.146876,0.237976,False,59
layer4,layer4_ch21,21,-11.699,14.1779,-0.825158,0.412606,0.507823,False,59
layer4,layer4_ch22,22,-48.2098,18.7699,-2.56846,0.0127659,0.0466868,True,59
layer4,layer4_ch23,23,13.8737,22.4467,0.618076,0.538904,0.64467,False,59
layer4,layer4_ch24,24,-18.6811,21.136,-0.883852,0.380364,0.472685,False,59
layer4,layer4_ch25,25,-25.8153,14.6581,-1.76117,0.0833915,0.161729,False,59
layer4,layer4_ch26,26,-28.1081,13.3174,-2.11063,0.0390524,0.096129,False,59
layer4,layer4_ch27,27,-16.3976,12.7458,-1.28651,0.203291,0.299095,False,59
layer4,layer4_ch28,28,-42.4858,10.6449,-3.99118,0.000184273,0.00739849,True,59
layer4,layer4_ch29,29,39.3009,42.2586,0.930009,0.356156,0.457451,False,59
layer4,layer4_ch30,30,-25.1354,13.2805,-1.89266,0.063312,0.132629,False,59
layer4,layer4_ch31,31,-40.8911,12.3874,-3.30103,0.00163824,0.0174745,True,59
layer4,layer4_ch32,32,-37.4994,13.4906,-2.77967,0.00728947,0.0319918,True,59
layer4,layer4_ch33,33,-25.3128,11.7014,-2.16323,0.0345862,0.0924745,False,59
layer4,layer4_ch34,34,21.649,16.9345,1.2784,0.206114,0.299803,False,59
layer4,layer4_ch35,35,-28.7869,13.4882,-2.13422,0.0369906,0.096129,False,59
layer4,layer4_ch36,36,-37.6924,13.611,-2.76927,0.00749809,0.0319918,True,59
layer4,layer4_ch37,37,18.8965,15.3511,1.23095,0.223227,0.318285,False,59
layer4,layer4_ch38,38,-19.8253,14.9165,-1.32908,0.188938,0.284518,False,59
layer4,layer4_ch39,39,28.384,20.162,1.4078,0.164438,0.256684,False,59
layer4,layer4_ch40,40,-6.32465,13.0947,-0.482993,0.630889,0.702206,False,59
layer4,layer4_ch41,41,-21.3267,15.283,-1.39545,0.168109,0.259253,False,59
layer4,layer4_ch42,42,-44.8832,11.5131,-3.89846,0.000250172,0.00739849,True,59
layer4,layer4_ch43,43,-21.368,10.9052,-1.95942,0.0547931,0.127518,False,59
