stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant,df_resid
layer2,layer2_ch0,0,-102.243,25.4331,-4.02005,0.000167422,0.000334844,True,59
layer2,layer2_ch1,1,207.134,250.132,0.828099,0.410952,0.469659,False,59
layer2,layer2_ch2,2,-84.6914,24.122,-3.51096,0.000862623,0.00131447,True,59
layer2,layer2_ch3,3,-74.6154,22.7758,-3.27608,0.00176543,0.0023539,True,59
layer2,layer2_ch4,4,-101.308,24.611,-4.11636,0.000121302,0.000266546,True,59
layer2,layer2_ch5,5,-87.0642,21.9925,-3.95881,0.00020511,0.00038609,True,59
layer2,layer2_ch6,6,673.671,135.821,4.95998,6.30153e-06,8.20821e-05,True,59
layer2,layer2_ch7,7,-77.4849,17.4214,-4.44769,3.90057e-05,0.000169426,True,59
layer2,layer2_ch8,8,-72.5511,17.2497,-4.20594,8.96022e-05,0.000260661,True,59
layer2,layer2_ch9,9,-81.2867,17.0454,-4.76884,1.25496e-05,0.000100397,True,59
layer2,layer2_ch10,10,-69.8303,18.5447,-3.76552,0.000385396,0.000685149,True,59
layer2,layer2_ch11,11,-64.9692,14.7974,-4.39059,4.75584e-05,0.000169426,True,59
layer2,layer2_ch12,12,-86.3176,19.4602,-4.43559,4.06827e-05,0.000169426,True,59
layer2,layer2_ch13,13,-77.93,22.6244,-3.44451,0.00105925,0.00154073,True,59
layer2,layer2_ch14,14,784.046,190.618,4.11318,0.000122606,0.000266546,True,59
layer2,layer2_ch15,15,-110.125,30.6916,-3.5881,0.000677858,0.00108457,True,59
layer2,layer2_ch16,16,888.54,261.317,3.40023,0.00121315,0.00168786,True,59
layer2,layer2_ch17,17,440.52,89.8137,4.90482,7.6952e-06,8.20821e-05,True,59
layer2,layer2_ch18,18,105.677,308.287,0.342786,0.732977,0.781843,False,59
layer2,layer2_ch19,19,-57.5062,14.0001,-4.10756,0.000124943,0.000266546,True,59
layer2,layer2_ch20,20,-82.9864,19.0994,-4.34498,5.56736e-05,0.000178156,True,59
layer2,layer2_ch21,21,-76.8375,18.5983,-4.13143,0.0001153,0.000266546,True,59
layer2,layer2_ch22,22,201.879,213.707,0.944652,0.348689,0.413261,False,59
layer2,layer2_ch23,23,479.198,97.3865,4.92058,7.26866e-06,8.20821e-05,True,59
layer2,layer2_ch24,24,28.7063,169.118,0.169741,0.865794,0.893723,False,59
layer2,layer2_ch25,25,-64.7504,14.7494,-4.39003,4.76511e-05,0.000169426,True,59
layer2,layer2_ch26,26,-73.4577,16.5022,-4.45139,3.85062e-05,0.000169426,True,59
layer2,layer2_ch27,27,-153.796,104.996,-1.46477,0.148291,0.182592,False,59
layer2,layer2_ch28,28,208.251,349.984,0.59503,0.554099,0.611419,False,59
layer2,layer2_ch29,29,638.661,177.711,3.59381,0.00066581,0.00108457,True,59
layer2,layer2_ch30,30,368.83,251.841,1.46454,0.148356,0.182592,False,59
layer2,layer2_ch31,31,18.1343,259.86,0.069785,0.944601,0.944601,False,59
