stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant,df_resid
layer1,layer1_ch0,0,1342.25,290.708,4.61718,2.15224e-05,0.000173136,True,59
layer1,layer1_ch1,1,1275.49,316.711,4.0273,0.000163434,0.000288384,True,59
layer1,layer1_ch2,2,-89.5158,20.8163,-4.30028,6.49262e-05,0.000173136,True,59
layer1,layer1_ch3,3,951.95,346.168,2.74996,0.00789997,0.00972304,True,59
layer1,layer1_ch4,4,391.01,248.724,1.57206,0.121284,0.12937,False,59
layer1,layer1_ch5,5,-79.8238,18.3287,-4.35512,5.37604e-05,0.000173136,True,59
layer1,layer1_ch6,6,1249.28,312.489,3.99785,0.00018024,0.000288384,True,59
layer1,layer1_ch7,7,-85.403,19.771,-4.31962,6.07535e-05,0.000173136,True,59
layer1,layer1_ch8,8,-123.478,33.3665,-3.70064,0.000474558,0.000632743,True,59
layer1,layer1_ch9,9,-210.079,171.909,-1.22203,0.226555,0.226555,False,59
layer1,layer1_ch10,10,-104.056,25.89,-4.01917,0.000167917,0.000288384,True,59
layer1,layer1_ch11,11,1560.28,362.756,4.30119,6.47238e-05,0.000173136,True,59
layer1,layer1_ch12,12,-96.878,23.2538,-4.16612,0.000102554,0.00023441,True,59
layer1,layer1_ch13,13,500.3,279.07,1.79274,0.0781409,0.0893039,False,59
layer1,layer1_ch14,14,1168.73,295.856,3.95032,0.000210941,0.000306824,True,59
layer1,layer1_ch15,15,-78.4238,17.9987,-4.35718,5.33793e-05,0.000173136,True,59
