stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant
layer1,layer1_ch0,0,2878.82,267.689,10.7544,7.46899e-17,7.66615e-16,True
layer1,layer1_ch1,1,2934.36,341.759,8.58605,9.13491e-13,2.43598e-12,True
layer1,layer1_ch2,2,-138.301,18.9569,-7.29553,2.58301e-10,4.13281e-10,True
layer1,layer1_ch3,3,1906.13,188.858,10.093,1.27846e-15,4.09108e-15,True
layer1,layer1_ch4,4,-165.287,321.61,-0.513937,0.608807,0.608807,False
layer1,layer1_ch5,5,-130.578,17.7778,-7.34499,2.08354e-10,3.96412e-10,True
layer1,layer1_ch6,6,2315.26,225.525,10.2661,6.05823e-16,2.42329e-15,True
layer1,layer1_ch7,7,-137.813,18.8029,-7.32937,2.22982e-10,3.96412e-10,True
layer1,layer1_ch8,8,-185.234,27.2815,-6.78972,2.29505e-09,3.33826e-09,True
layer1,layer1_ch9,9,-462.968,103.314,-4.48118,2.61744e-05,2.99136e-05,True
layer1,layer1_ch10,10,-182.579,27.0758,-6.74324,2.80111e-09,3.73482e-09,True
layer1,layer1_ch11,11,2795.69,261.378,10.696,9.58269e-17,7.66615e-16,True
layer1,layer1_ch12,12,-277.335,52.6263,-5.26989,1.26623e-06,1.55844e-06,True
layer1,layer1_ch13,13,498.087,402.959,1.23607,0.220289,0.234975,False
layer1,layer1_ch14,14,2563.85,242.53,10.5713,1.63365e-16,8.71281e-16,True
layer1,layer1_ch15,15,-130.089,17.6613,-7.36576,1.90364e-10,3.96412e-10,True
