stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant
layer3,layer3_ch0,0,-142.811,19.8398,-7.19822,3.93981e-10,1.57592e-09,True
layer3,layer3_ch1,1,-108.525,15.4861,-7.00787,8.97561e-10,3.06864e-09,True
layer3,layer3_ch2,2,-82.5303,136.929,-0.602724,0.548511,0.557217,False
layer3,layer3_ch3,3,-124.687,17.1304,-7.27869,2.77887e-10,1.36806e-09,True
layer3,layer3_ch4,4,-143.587,21.2953,-6.74268,2.80788e-09,6.65571e-09,True
layer3,layer3_ch5,5,-189.296,30.252,-6.25729,2.20812e-08,3.44682e-08,True
layer3,layer3_ch6,6,-254.541,53.4595,-4.76138,9.15612e-06,1.10564e-05,True
layer3,layer3_ch7,7,-10.7224,109.107,-0.0982742,0.921977,0.921977,False
layer3,layer3_ch8,8,441.083,52.2655,8.43928,1.73896e-12,3.70977e-11,True
layer3,layer3_ch9,9,-143.407,22.1239,-6.48201,8.53813e-09,1.70763e-08,True
layer3,layer3_ch10,10,-304.512,63.5796,-4.78946,8.22772e-06,1.01264e-05,True
layer3,layer3_ch11,11,-109.672,16.2873,-6.73356,2.91974e-09,6.6737e-09,True
layer3,layer3_ch12,12,-212.964,124.051,-1.71674,0.0901535,0.0945873,False
layer3,layer3_ch13,13,-102.184,14.7274,-6.93832,1.21145e-09,3.87664e-09,True
layer3,layer3_ch14,14,-80.9184,11.8561,-6.82502,1.97236e-09,5.25962e-09,True
layer3,layer3_ch15,15,485.242,76.8157,6.31696,1.71716e-08,2.89206e-08,True
layer3,layer3_ch16,16,-152.435,23.8682,-6.38655,1.27969e-08,2.21352e-08,True
layer3,layer3_ch17,17,863.581,116.227,7.43013,1.43863e-10,1.01667e-09,True
layer3,layer3_ch18,18,-258.596,66.8647,-3.86745,0.00023239,0.000275425,True
layer3,layer3_ch19,19,-379.08,57.297,-6.61606,4.82515e-09,1.02937e-08,True
layer3,layer3_ch20,20,-155.531,22.5158,-6.90767,1.38238e-09,4.21298e-09,True
layer3,layer3_ch21,21,-77.542,12.4116,-6.24755,2.30057e-08,3.50563e-08,True
layer3,layer3_ch22,22,-76.3628,11.9479,-6.39133,1.2541e-08,2.21352e-08,True
layer3,layer3_ch23,23,142.59,80.7076,1.76675,0.0813386,0.0867612,False
layer3,layer3_ch24,24,-143.071,18.0566,-7.92349,1.66822e-11,2.13532e-10,True
layer3,layer3_ch25,25,-98.8808,13.4792,-7.3358,2.16845e-10,1.15651e-09,True
layer3,layer3_ch26,26,736.881,131.389,5.60838,3.24618e-07,4.28029e-07,True
layer3,layer3_ch27,27,-93.2228,14.7966,-6.3003,1.84222e-08,3.02313e-08,True
layer3,layer3_ch28,28,-309.977,55.2933,-5.60605,3.2771e-07,4.28029e-07,True
layer3,layer3_ch29,29,-75.8894,11.3027,-6.7143,3.1708e-09,6.99762e-09,True
layer3,layer3_ch30,30,-129.699,20.0465,-6.46988,8.98933e-09,1.74338e-08,True
layer3,layer3_ch31,31,-143.17,22.2614,-6.43131,1.05874e-08,1.93598e-08,True
layer3,layer3_ch32,32,-114.853,18.8609,-6.08947,4.46321e-08,6.64292e-08,True
layer3,layer3_ch33,33,310.392,105.446,2.94362,0.00431598,0.00476246,True
layer3,layer3_ch34,34,-114.238,16.7898,-6.80398,2.15875e-09,5.52639e-09,True
