stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant
layer3,layer3_ch35,35,-124.921,18.2635,-6.83991,1.85012e-09,5.14815e-09,True
layer3,layer3_ch36,36,-195.539,24.8343,-7.87373,2.07423e-11,2.21251e-10,True
layer3,layer3_ch37,37,320.273,39.6244,8.08271,8.30525e-12,1.32884e-10,True
layer3,layer3_ch38,38,-115.399,17.0743,-6.75865,2.62211e-09,6.45444e-09,True
layer3,layer3_ch39,39,-197.682,30.192,-6.5475,6.46294e-09,1.33428e-08,True
layer3,layer3_ch40,40,-129.482,20.1183,-6.43603,1.03775e-08,1.93598e-08,True
layer3,layer3_ch41,41,-117.999,16.3492,-7.21739,3.62561e-10,1.54693e-09,True
layer3,layer3_ch42,42,-200.753,34.247,-5.86191,1.14844e-07,1.67046e-07,True
layer3,layer3_ch43,43,-170.115,29.1853,-5.82879,1.31654e-07,1.87241e-07,True
layer3,layer3_ch44,44,-259.386,37.0318,-7.00442,9.11001e-10,3.06864e-09,True
layer3,layer3_ch45,45,-239.258,28.2637,-8.46522,1.55192e-12,3.70977e-11,True
layer3,layer3_ch46,46,-106.713,14.4063,-7.40735,1.58855e-10,1.01667e-09,True
layer3,layer3_ch47,47,-195.763,51.7426,-3.7834,0.000309076,0.000353229,True
layer3,layer3_ch48,48,-272.619,37.6328,-7.24418,3.22791e-10,1.47562e-09,True
layer3,layer3_ch49,49,-111.835,118.068,-0.947203,0.346577,0.357757,False
layer3,layer3_ch50,50,-113.644,19.6001,-5.79813,1.49368e-07,2.07816e-07,True
layer3,layer3_ch51,51,-221.892,45.867,-4.83774,6.8417e-06,8.58566e-06,True
layer3,layer3_ch52,52,226.954,89.3645,2.53965,0.0131666,0.0142825,True
layer3,layer3_ch53,53,-114.485,15.5756,-7.35028,2.03612e-10,1.15651e-09,True
layer3,layer3_ch54,54,-496.633,101.787,-4.87912,5.837e-06,7.47136e-06,True
layer3,layer3_ch55,55,-111.766,16.2535,-6.8764,1.58148e-09,4.60066e-09,True
layer3,layer3_ch56,56,-109.113,14.2695,-7.64656,5.59938e-11,4.47951e-10,True
layer3,layer3_ch57,57,-301.34,78.3387,-3.84663,0.000249482,0.000290306,True
layer3,layer3_ch58,58,-280.799,87.5293,-3.20805,0.00196634,0.00220782,True
layer3,layer3_ch59,59,-217.278,37.7573,-5.7546,1.7862e-07,2.43227e-07,True
layer3,layer3_ch60,60,-132.215,18.5061,-7.14438,4.97467e-10,1.87282e-09,True
layer3,layer3_ch61,61,-146.628,18.9679,-7.73033,3.88358e-11,3.5507e-10,True
layer3,layer3_ch62,62,-126.51,20.1263,-6.28577,1.95854e-08,3.13366e-08,True
layer3,layer3_ch63,63,724.164,83.8371,8.63776,7.28153e-13,3.70977e-11,True
