stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant
layer2,layer2_ch0,0,-130.804,17.0166,-7.68684,4.69614e-11,2.14681e-10,True
layer2,layer2_ch1,1,-294.75,152.288,-1.93548,0.056701,0.0585301,False
layer2,layer2_ch2,2,-196.074,28.8886,-6.78724,2.31957e-09,3.90665e-09,True
layer2,layer2_ch3,3,-135.056,18.9026,-7.14483,4.9651e-10,1.32403e-09,True
layer2,layer2_ch4,4,-698.624,255.906,-2.73,0.00788861,0.00841452,True
layer2,layer2_ch5,5,-108.572,15.3914,-7.05406,7.35236e-10,1.74144e-09,True
layer2,layer2_ch6,6,701.177,174.678,4.01411,0.000140117,0.000160133,True
layer2,layer2_ch7,7,-145.628,21.5592,-6.75477,2.66609e-09,4.26574e-09,True
layer2,layer2_ch8,8,-93.942,13.422,-6.9991,9.32182e-10,1.91203e-09,True
layer2,layer2_ch9,9,-228.443,39.2669,-5.81771,1.378e-07,1.76385e-07,True
layer2,layer2_ch10,10,-101.971,15.3188,-6.6566,4.05821e-09,6.18393e-09,True
layer2,layer2_ch11,11,-105.407,14.9602,-7.04582,7.61882e-10,1.74144e-09,True
layer2,layer2_ch12,12,2126.08,305.365,6.96244,1.09184e-09,1.94104e-09,True
layer2,layer2_ch13,13,-121.918,17.4687,-6.97922,1.01562e-09,1.91203e-09,True
layer2,layer2_ch14,14,-363.56,107.914,-3.36899,0.0011939,0.00131741,True
layer2,layer2_ch15,15,-182.846,28.25,-6.47242,8.89283e-09,1.2935e-08,True
layer2,layer2_ch16,16,1031.98,119.845,8.61096,8.18951e-13,7.75384e-12,True
layer2,layer2_ch17,17,721.298,77.7581,9.27617,4.44961e-14,1.42387e-12,True
layer2,layer2_ch18,18,-132.655,17.4094,-7.61972,6.29559e-11,2.23843e-10,True
layer2,layer2_ch19,19,-99.0721,15.4355,-6.41845,1.11801e-08,1.55549e-08,True
layer2,layer2_ch20,20,-127.723,16.7211,-7.63844,5.80164e-11,2.23843e-10,True
layer2,layer2_ch21,21,2442.56,443.705,5.50493,4.93749e-07,5.85185e-07,True
layer2,layer2_ch22,22,-883.594,160.015,-5.52194,4.6094e-07,5.67311e-07,True
layer2,layer2_ch23,23,471.586,56.2764,8.37981,2.25729e-12,1.44467e-11,True
layer2,layer2_ch24,24,2126.42,235.704,9.02156,1.35467e-13,2.16748e-12,True
layer2,layer2_ch25,25,-144.866,23.9793,-6.04132,5.45628e-08,7.27505e-08,True
layer2,layer2_ch26,26,-127.648,17.6307,-7.24009,3.28567e-10,9.55832e-10,True
layer2,layer2_ch27,27,-198.61,28.4574,-6.97919,1.01577e-09,1.91203e-09,True
layer2,layer2_ch28,28,-113.601,15.5743,-7.29411,2.59895e-10,8.31663e-10,True
layer2,layer2_ch29,29,1268.74,148,8.57255,9.6923e-13,7.75384e-12,True
layer2,layer2_ch30,30,382.706,435.396,0.878984,0.382218,0.382218,False
layer2,layer2_ch31,31,-383.313,47.4646,-8.07575,8.56242e-12,4.56663e-11,True
