stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant
layer4,layer4_ch0,0,-119.11,22.4441,-5.30696,1.09261e-06,3.77984e-06,True
layer4,layer4_ch1,1,47.6487,32.7555,1.45468,0.149931,0.169834,False
layer4,layer4_ch2,2,-72.7284,30.5396,-2.38145,0.0197823,0.0253214,True
layer4,layer4_ch3,3,-126.551,20.3419,-6.22119,2.57022e-08,2.99195e-07,True
layer4,layer4_ch4,4,-91.737,18.0613,-5.07919,2.68601e-06,8.18594e-06,True
layer4,layer4_ch5,5,-77.3642,15.7407,-4.91492,5.08534e-06,1.35609e-05,True
layer4,layer4_ch6,6,116.552,39.0567,2.98418,0.00383639,0.0054562,True
layer4,layer4_ch7,7,-74.4448,21.9475,-3.39195,0.00111055,0.00171265,True
layer4,layer4_ch8,8,62.7048,45.8228,1.36842,0.175266,0.19679,False
layer4,layer4_ch9,9,-129.417,25.5928,-5.05679,2.93186e-06,8.52906e-06,True
layer4,layer4_ch10,10,-90.3811,22.0112,-4.10615,0.00010146,0.000193834,True
layer4,layer4_ch11,11,-160.471,27.9332,-5.74479,1.85954e-07,8.81561e-07,True
layer4,layer4_ch12,12,-94.3205,14.9216,-6.32107,1.68765e-08,2.99195e-07,True
layer4,layer4_ch13,13,-32.9639,28.4976,-1.15673,0.251055,0.274659,False
layer4,layer4_ch14,14,-153.291,27.73,-5.52796,4.49837e-07,1.85739e-06,True
layer4,layer4_ch15,15,-79.1422,18.3813,-4.30557,4.9742e-05,0.000104377,True
layer4,layer4_ch16,16,-130.409,18.9942,-6.86571,1.6559e-09,1.05977e-07,True
layer4,layer4_ch17,17,-42.927,32.1002,-1.33728,0.185173,0.206105,False
layer4,layer4_ch18,18,-102.339,30.3152,-3.37582,0.00116852,0.00178061,True
layer4,layer4_ch19,19,-111.681,20.4112,-5.47156,5.64927e-07,2.19332e-06,True
layer4,layer4_ch20,20,22.9733,44.4982,0.516274,0.607182,0.631864,False
layer4,layer4_ch21,21,-82.6299,17.6895,-4.67114,1.28849e-05,3.05419e-05,True
layer4,layer4_ch22,22,-87.5778,19.666,-4.45326,2.90127e-05,6.18938e-05,True
layer4,layer4_ch23,23,-69.5007,34.2735,-2.02783,0.0461301,0.0567756,False
layer4,layer4_ch24,24,-156.134,26.4279,-5.90794,9.4945e-08,5.29231e-07,True
layer4,layer4_ch25,25,-96.0786,18.5218,-5.18733,1.75597e-06,5.61911e-06,True
layer4,layer4_ch26,26,-111.737,27.918,-4.00232,0.000145989,0.000263192,True
layer4,layer4_ch27,27,-86.1895,17.8242,-4.83553,6.89983e-06,1.76636e-05,True
layer4,layer4_ch28,28,-130.914,34.4005,-3.80558,0.000286769,0.00048298,True
layer4,layer4_ch29,29,46.133,41.5183,1.11115,0.270054,0.290478,False
layer4,layer4_ch30,30,-33.7888,37.1369,-0.909844,0.365819,0.38381,False
layer4,layer4_ch31,31,-99.6601,19.948,-4.996,3.7152e-06,1.0338e-05,True
layer4,layer4_ch32,32,-60.2554,30.8209,-1.95502,0.0543072,0.0654932,False
layer4,layer4_ch33,33,-77.9054,14.4233,-5.40137,7.49141e-07,2.7699e-06,True
