stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant
layer4,layer4_ch34,34,-82.9953,13.6599,-6.07582,4.72498e-08,3.94201e-07,True
layer4,layer4_ch35,35,-115.301,39.0208,-2.95485,0.00417793,0.00581277,True
layer4,layer4_ch36,36,-135.961,32.4978,-4.18369,7.70638e-05,0.000154128,True
layer4,layer4_ch37,37,-39.5175,36.9718,-1.06886,0.288562,0.3078,False
layer4,layer4_ch38,38,-98.389,27.1707,-3.62115,0.000530458,0.000848733,True
layer4,layer4_ch39,39,62.8808,41.7575,1.50586,0.136304,0.155776,False
layer4,layer4_ch40,40,-112.521,23.4841,-4.79135,8.16867e-06,2.05018e-05,True
layer4,layer4_ch41,41,-80.1617,12.9944,-6.16892,3.20071e-08,2.99195e-07,True
layer4,layer4_ch42,42,-103.695,27.7622,-3.73512,0.000363484,0.000596486,True
layer4,layer4_ch43,43,12.6205,29.4587,0.428413,0.669579,0.685649,False
layer4,layer4_ch44,44,61.0729,36.3693,1.67925,0.097266,0.113182,False
layer4,layer4_ch45,45,-75.795,22.3049,-3.39813,0.00108903,0.00169995,True
layer4,layer4_ch46,46,-88.7645,22.5858,-3.9301,0.000187462,0.000333266,True
layer4,layer4_ch47,47,-82.2324,19.1403,-4.29631,5.14372e-05,0.000106193,True
layer4,layer4_ch48,48,-103.633,22.2189,-4.66416,1.32279e-05,3.07849e-05,True
layer4,layer4_ch49,49,-92.7431,14.3575,-6.45958,9.39096e-09,2.0034e-07,True
layer4,layer4_ch50,50,-75.9551,19.5289,-3.88938,0.000215608,0.000367971,True
layer4,layer4_ch51,51,-74.9205,13.286,-5.63907,2.86495e-07,1.30969e-06,True
layer4,layer4_ch52,52,-142.552,34.9231,-4.08189,0.000110511,0.000205005,True
layer4,layer4_ch53,53,18.4553,36.6338,0.503777,0.615895,0.635762,False
layer4,layer4_ch54,54,-60.3683,22.3163,-2.70513,0.00844622,0.0116249,True
layer4,layer4_ch55,55,-40.704,32.1022,-1.26795,0.208738,0.230331,False
layer4,layer4_ch56,56,-147.651,25.5681,-5.77481,1.64394e-07,8.23019e-07,True
layer4,layer4_ch57,57,-98.2296,15.8955,-6.17972,3.059e-08,2.99195e-07,True
layer4,layer4_ch58,58,74.0735,35.4461,2.08975,0.040031,0.0497472,True
layer4,layer4_ch59,59,-138.412,25.7479,-5.37565,8.30472e-07,2.95279e-06,True
layer4,layer4_ch60,60,-111.199,27.0776,-4.10669,0.000101266,0.000193834,True
layer4,layer4_ch61,61,-72.3363,23.1595,-3.1234,0.00254076,0.00369565,True
layer4,layer4_ch62,62,-111.212,14.2619,-7.79782,2.89122e-11,3.70076e-09,True
layer4,layer4_ch63,63,-98.3736,18.2219,-5.39864,7.57393e-07,2.7699e-06,True
layer4,layer4_ch64,64,34.361,30.1616,1.13923,0.258233,0.280117,False
layer4,layer4_ch65,65,-96.8271,20.3417,-4.76003,9.20337e-06,2.26079e-05,True
layer4,layer4_ch66,66,-136.935,33.4367,-4.09535,0.000105396,0.000198392,True
layer4,layer4_ch67,67,1.25787,33.8615,0.0371476,0.970466,0.970466,False
layer4,layer4_ch68,68,-58.7685,9.03699,-6.50311,7.80608e-09,1.99836e-07,True
layer4,layer4_ch69,69,138.254,41.4084,3.33878,0.00131262,0.00197665,True
layer4,layer4_ch70,70,-73.976,13.3632,-5.53581,4.35786e-07,1.85739e-06,True
layer4,layer4_ch71,71,-62.3945,24.4258,-2.55445,0.0126633,0.0168844,True
layer4,layer4_ch72,72,-138.025,22.0183,-6.26867,2.10486e-08,2.99195e-07,True
layer4,layer4_ch73,73,-110.402,20.1783,-5.47132,5.65466e-07,2.19332e-06,True
layer4,layer4_ch74,74,-141.372,27.164,-5.20439,1.64154e-06,5.52941e-06,True
layer4,layer4_ch75,75,-85.7429,13.9111,-6.16363,3.27245e-08,2.99195e-07,True
layer4,layer4_ch76,76,193.574,39.9861,4.84104,6.75573e-06,1.76476e-05,True
layer4,layer4_ch77,77,-75.3183,20.0209,-3.76198,0.000332184,0.000552203,True
layer4,layer4_ch78,78,-133.594,22.3781,-5.96987,7.34458e-08,4.94793e-07,True
layer4,layer4_ch79,79,-70.9566,15.5073,-4.57569,1.84295e-05,4.0888e-05,True
layer4,layer4_ch80,80,69.5235,35.6281,1.95137,0.0547482,0.0654932,False
layer4,layer4_ch81,81,-68.7222,13.2282,-5.19515,1.7026e-06,5.58801e-06,True
layer4,layer4_ch82,82,-106.163,43.8418,-2.42151,0.0178737,0.0231094,True
layer4,layer4_ch83,83,-104.993,32.8838,-3.19283,0.0020597,0.00306561,True
layer4,layer4_ch84,84,-86.2237,14.5955,-5.90755,9.50962e-08,5.29231e-07,True
layer4,layer4_ch85,85,-83.2227,24.4639,-3.40186,0.00107626,0.00169995,True
layer4,layer4_ch86,86,-59.2066,10.004,-5.91829,9.09625e-08,5.29231e-07,True
layer4,layer4_ch87,87,-90.0184,14.5376,-6.19212,2.90398e-08,2.99195e-07,True
layer4,layer4_ch88,88,-58.0572,23.7304,-2.44654,0.0167663,0.0218988,True
layer4,layer4_ch89,89,151.181,29.8924,5.05749,2.92384e-06,8.52906e-06,True
layer4,layer4_ch90,90,-105.159,25.287,-4.15863,8.42526e-05,0.000165913,True
layer4,layer4_ch91,91,-77.5498,24.7425,-3.13427,0.00245908,0.00361796,True
layer4,layer4_ch92,92,-3.84868,43.3292,-0.0888241,0.929458,0.936777,False
layer4,layer4_ch93,93,174.402,26.3057,6.62983,4.54987e-09,1.94128e-07,True
layer4,layer4_ch94,94,-71.3659,16.7062,-4.27183,5.61889e-05,0.000114161,True
layer4,layer4_ch95,95,-183.206,37.0876,-4.93982,4.6191e-06,1.25797e-05,True
layer4,layer4_ch96,96,-61.4877,16.976,-3.62205,0.000528892,0.000848733,True
layer4,layer4_ch97,97,-96.4736,16.5407,-5.83251,1.2965e-07,6.91468e-07,True
layer4,layer4_ch98,98,-97.7827,38.1537,-2.56286,0.0123852,0.0166875,True
layer4,layer4_ch99,99,-83.7966,33.1408,-2.5285,0.0135574,0.0178902,True
layer4,layer4_ch100,100,-96.2222,24.0146,-4.00682,0.00014372,0.000262801,True
layer4,layer4_ch101,101,-76.9617,17.2393,-4.46432,2.78545e-05,6.04301e-05,True
layer4,layer4_ch102,102,-71.8844,27.5782,-2.60656,0.0110272,0.0150157,True
layer4,layer4_ch103,103,-153.089,29.677,-5.1585,1.96735e-06,6.14197e-06,True
layer4,layer4_ch104,104,-91.2616,18.221,-5.0086,3.53756e-06,1.00624e-05,True
layer4,layer4_ch105,105,60.1565,29.8653,2.01426,0.0475683,0.0579881,False
layer4,layer4_ch106,106,-72.8104,30.9009,-2.35625,0.0210738,0.0267074,True
layer4,layer4_ch107,107,-61.1095,19.9627,-3.06118,0.00305901,0.00439948,True
layer4,layer4_ch108,108,-104.669,15.985,-6.54794,6.45084e-09,1.99836e-07,True
layer4,layer4_ch109,109,-111.058,24.0635,-4.61519,1.58992e-05,3.6341e-05,True
layer4,layer4_ch110,110,135.658,23.508,5.77073,1.67176e-07,8.23019e-07,True
layer4,layer4_ch111,111,-75.768,15.9325,-4.75556,9.36107e-06,2.26079e-05,True
layer4,layer4_ch112,112,63.8551,41.4432,1.54079,0.127577,0.147116,False
layer4,layer4_ch113,113,-130.406,21.5966,-6.03825,5.52647e-08,4.1611e-07,True
layer4,layer4_ch114,114,-109.48,18.2354,-6.00369,6.38172e-08,4.53811e-07,True
layer4,layer4_ch115,115,49.6882,26.4249,1.88036,0.0639423,0.0757835,False
layer4,layer4_ch116,116,-35.3902,36.6973,-0.964382,0.337954,0.357505,False
layer4,layer4_ch117,117,-93.5418,15.4213,-6.06576,4.92752e-08,3.94201e-07,True
layer4,layer4_ch118,118,-101.797,22.2543,-4.57427,1.85274e-05,4.0888e-05,True
layer4,layer4_ch119,119,-81.1925,13.7003,-5.92632,8.79853e-08,5.29231e-07,True
layer4,layer4_ch120,120,9.29906,29.8016,0.312032,0.755882,0.76788,False
layer4,layer4_ch121,121,-126.233,32.3204,-3.90569,0.000203877,0.000357483,True
layer4,layer4_ch122,122,-94.8469,15.3398,-6.18305,3.01661e-08,2.99195e-07,True
layer4,layer4_ch123,123,-122.38,31.454,-3.89077,0.00021458,0.000367971,True
layer4,layer4_ch124,124,62.0214,33.3236,1.86119,0.0666368,0.0782524,False
layer4,layer4_ch125,125,-95.8266,17.0387,-5.62406,3.04557e-07,1.34425e-06,True
layer4,layer4_ch126,126,75.5889,34.6739,2.17999,0.032396,0.0406538,True
layer4,layer4_ch127,127,-70.5219,23.6913,-2.9767,0.00392087,0.00551508,True
