stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant
latent,latent_ch74,74,6.31599,1.71743,3.67758,0.000440291,0.00268368,True
latent,latent_ch75,75,5.35568,1.32565,4.04004,0.000127988,0.0010239,True
latent,latent_ch76,76,-3.54534,1.6457,-2.1543,0.034428,0.091808,False
latent,latent_ch77,77,-3.6423,0.759549,-4.79534,8.04544e-06,0.000114424,True
latent,latent_ch78,78,-1.3778,1.58584,-0.868819,0.387718,0.583858,False
latent,latent_ch79,79,1.04619,1.28592,0.813575,0.418464,0.615671,False
latent,latent_ch80,80,-0.156815,2.22498,-0.0704794,0.944,0.958984,False
latent,latent_ch81,81,5.2687,2.0197,2.60866,0.0109656,0.0359895,True
latent,latent_ch82,82,2.85724,1.70919,1.67169,0.0987539,0.197508,False
latent,latent_ch83,83,6.6059,1.43251,4.61142,1.61255e-05,0.000206407,True
latent,latent_ch84,84,0.876709,1.39673,0.627685,0.532117,0.695975,False
latent,latent_ch85,85,-5.72144,1.40634,-4.06833,0.000115906,0.000989069,True
latent,latent_ch86,86,-0.490703,1.96217,-0.250082,0.803207,0.854882,False
latent,latent_ch87,87,-3.27524,1.90439,-1.71984,0.0895861,0.187984,False
latent,latent_ch88,88,7.15016,1.60812,4.44629,2.97673e-05,0.000346383,True
latent,latent_ch89,89,1.12924,1.55075,0.728193,0.468763,0.659358,False
latent,latent_ch90,90,0.985278,1.7985,0.547833,0.585434,0.727529,False
latent,latent_ch91,91,2.47329,1.74904,1.41408,0.161476,0.295271,False
latent,latent_ch92,92,2.24548,1.93018,1.16335,0.248375,0.412883,False
latent,latent_ch93,93,1.23217,1.58426,0.777753,0.439161,0.63377,False
latent,latent_ch94,94,-4.92083,1.5986,-3.07821,0.00290821,0.012552,True
latent,latent_ch95,95,-2.56989,1.58486,-1.62153,0.109101,0.214845,False
latent,latent_ch96,96,0.540267,1.87246,0.288534,0.773734,0.846478,False
latent,latent_ch97,97,5.4244,1.8117,2.9941,0.00372687,0.0149075,True
latent,latent_ch98,98,0.68388,1.0999,0.621765,0.535982,0.695975,False
latent,latent_ch99,99,-3.10091,1.64035,-1.89039,0.0625685,0.143014,False
latent,latent_ch100,100,-2.61923,1.2983,-2.01743,0.0472289,0.112345,False
latent,latent_ch101,101,-6.25817,1.23491,-5.06773,2.80915e-06,7.19143e-05,True
latent,latent_ch102,102,-5.68003,1.59752,-3.55552,0.000657367,0.00350596,True
latent,latent_ch103,103,-6.4297,1.24362,-5.17014,1.87914e-06,6.01324e-05,True
latent,latent_ch104,104,-2.93343,2.01071,-1.4589,0.148768,0.280034,False
latent,latent_ch105,105,0.745224,1.51102,0.493191,0.623318,0.746305,False
latent,latent_ch106,106,-2.48063,1.38091,-1.79638,0.0764613,0.165882,False
latent,latent_ch107,107,-2.28602,1.34422,-1.70063,0.0931556,0.189268,False
latent,latent_ch108,108,0.875605,1.82951,0.4786,0.633615,0.750952,False
latent,latent_ch109,109,-5.50368,1.37563,-4.00083,0.000146747,0.00110492,True
latent,latent_ch110,110,4.00568,1.45627,2.75063,0.00745173,0.0280536,True
latent,latent_ch111,111,-1.56502,1.64401,-0.951951,0.34418,0.539732,False
latent,latent_ch112,112,0.617398,1.40411,0.439709,0.661412,0.763839,False
latent,latent_ch113,113,-3.1427,1.35862,-2.31315,0.0234577,0.0682404,False
latent,latent_ch114,114,-1.89102,1.59609,-1.18478,0.239844,0.403948,False
latent,latent_ch115,115,-3.48767,1.31112,-2.66006,0.00954899,0.032165,True
latent,latent_ch116,116,5.08585,1.88966,2.69141,0.00876896,0.0320519,True
latent,latent_ch117,117,0.999357,1.31265,0.761326,0.44885,0.638364,False
latent,latent_ch118,118,-7.92657,1.90221,-4.16704,8.17708e-05,0.000747618,True
latent,latent_ch119,119,3.0675,1.37323,2.23378,0.028478,0.0792432,False
latent,latent_ch120,120,-2.49038,1.1281,-2.20759,0.0303305,0.0826022,False
latent,latent_ch121,121,-1.3565,1.63239,-0.830991,0.408616,0.608173,False
latent,latent_ch122,122,-0.597101,1.36215,-0.438351,0.662392,0.763839,False
latent,latent_ch123,123,-0.397997,1.61385,-0.246614,0.805881,0.854882,False
latent,latent_ch124,124,-3.74903,1.40411,-2.67004,0.00929403,0.0321523,True
latent,latent_ch125,125,1.2752,1.97953,0.644196,0.521414,0.695219,False
latent,latent_ch126,126,7.86315,1.63369,4.81312,7.51734e-06,0.000114424,True
latent,latent_ch127,127,7.69743,1.76754,4.35489,4.15896e-05,0.000443622,True
